STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT13,WT16,WT19
USW00013958,"AUSTIN CAMP MABRY, TX US",2/26/13,0,0,0,,68,41,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",2/27/13,0,0,0,,64,47,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",2/28/13,0,0,0,,63,41,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/1/13,0,0,0,,70,37,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/2/13,0,0,0,,63,40,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/3/13,0,0,0,,77,39,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/4/13,0,0,0,,89,55,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/5/13,0,0,0,,68,46,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/6/13,0,0,0,,66,40,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/7/13,0,0,0,,74,43,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/8/13,0.16,0,0,,67,57,1,,,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/9/13,0.02,0,0,,73,62,,,1,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/10/13,0.85,0,0,,67,46,,,1,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/11/13,0,0,0,,69,38,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/12/13,0,0,0,,80,42,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/13/13,0,0,0,,77,48,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/14/13,0,0,0,,79,50,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/15/13,0,0,0,,83,52,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/16/13,0,0,0,,86,59,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/17/13,0,0,0,,84,66,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/18/13,0,0,0,,90,62,1,,,,,,1,1,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/19/13,0,0,0,,85,51,,,1,,,,,,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/20/13,0.14,0,0,,73,53,,,1,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/21/13,0,0,0,,80,54,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/22/13,0,0,0,,85,55,1,,,,,,,1,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/23/13,0,0,0,,80,52,,,,,,,1,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/24/13,0,0,0,,61,43,1,,,,,,,1,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/25/13,0,0,0,,61,38,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/26/13,0,0,0,,66,34,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/27/13,0,0,0,,71,40,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/28/13,0,0,0,,76,55,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/29/13,0,0,0,,80,60,1,,,,,,,1,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/30/13,0,0,0,,86,65,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",3/31/13,0,0,0,,80,65,,,1,,,,,,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/1/13,0,0,0,,87,60,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/2/13,2.1,0,0,,76,53,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/3/13,0.36,0,0,,57,49,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/4/13,0,0,0,,62,46,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/5/13,0,0,0,,73,40,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/6/13,0,0,0,,82,53,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/7/13,0,0,0,,84,63,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/8/13,0,0,0,,77,67,,,,,,,1,,,
